name,positive,negative,neutral
Cafe Kaara,42,6,0
Cafe Madhura,18,3,0
Cafe Mangii,18,0,2
Cafe Max,33,0,3
Cafe Medley,67,8,4
Cafe Mingo?s,1,0,0
Cafe Mist,12,0,0
Cafe Monarch Luxur,4,0,0
Cafe Mondo,22,10,3
Cafe Mozaic - Taj MG Road Bengaluru,12,4,4
Cafe Nibras,6,0,0
Cafe Noir,23,2,3
Cafe Oleiva,6,0,0
Cafe Olive,4,4,0
Cafe Palmyra,32,4,1
Cafe Palnad,4,0,2
Cafe Petu,8,0,2
Cafe Potpourri,5,0,0
Cafe Ritzz,2,1,0
Cafe Shawamek,0,1,0
Cafe Shuffle,15,2,0
Cafe Soy,2,0,0
Cafe Srinidhi,4,0,0
Cafe Talk,24,3,0
Cafe Terra,100,6,0
Cafe Thulp,43,12,3
Cafe Treat - The Pride Hotel,6,0,0
Cafe Velvette,0,0,0
Cafe Vivacity,4,2,0
Cafe Xtasi,3,4,0
Cafe Zone,1,0,0
Cafe of Joy,30,8,2
Cafemoto,4,0,0
Caferia,3,0,0
Cafesta,6,0,1
Caffe Maven,2,0,0
Caffe Pascucci,55,5,0
CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© Delight,0,4,0
CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© Felix,20,0,0
CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© MH-28,0,0,0
CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© Mor'ish,27,0,0
CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© Secret Alley,8,0,0
Cake 24x7,5,3,1
Cake Art,2,0,0
Cake Box,0,1,1
Cake Cafe,4,0,2
Cake Delights,4,0,0
Cake Dilim,20,5,2
Cake Genie,2,0,0
Cake Ghar,1,0,0
Cake Menu,18,14,4
Cake Palace,4,0,0
Cake Yard,4,2,0
Cake of the Day,2,0,0
CakeBox,4,0,0
CakeWalk,9,0,0
CakeZone,13,7,2
Cakebuy,6,1,0
Cakes & Candles,12,6,0
Cakes And Crumbs,1,0,0
Cakes Wagon,4,0,0
Cakesta,1,0,0
Cakewala,37,2,0
Calcutta Chats,18,0,2
Calcutta Victoria Chat House,6,0,0
Calicut Durbar,60,0,0
Calicut Restaurant,3,3,0
California Burrito,58,6,5
Call A Cake,30,50,0
Calorie Express,2,0,0
Calvin's,10,0,1
Candy Cake,4,0,0
Cane Crussh,1,0,0
Cane Recipes,7,0,1
Cane-O-La,20,0,0
Canopy,39,18,3
Canopy Flavours,2,0,0
Canton,2,0,0
Capsicum Family Restaurant,6,0,0
Caraway Kitchen - Conrad Bengaluru,54,6,6
Carlos Cake Cafe,2,2,0
Carnatic,29,9,2
Carnival Cakes & Breads,32,6,0
Carnival de Goa,111,9,0
Carrots,12,0,0
Casa Express,0,2,0
Casa Piccosa,26,0,0
Cashmere Nites,2,1,0
Cedar Bar & Dive - Hotel Presidency,38,2,0
Celebrations 365,6,2,0
Celeste's Kitchen,1,0,0
Central Jail Restaurant,8,2,0
Cha-Cha Cha-Chi,2,0,0
Chaai Resto,32,3,0
Chaat Bazaar,3,0,0
Chaat Express,6,2,0
Chaat Junction,1,0,0
Chaat Street,43,11,0
Chaat Trail By Moti Mahal,4,0,0
Chaatimes,22,10,2
Chaavadi,24,6,2
Chackochi Mess,2,0,0
Chai & Kadi,2,0,0
Chai Cafe,69,7,0
Chai Central,1,0,0
Chai Chowk,20,0,0
Chai Culture,6,0,0
Chai Days,51,3,0
Chai Galli,128,3,3
Chai Ki Tapri,3,0,0
Chai Kraft,3,0,0
Chai Makhani,6,2,0
Chai Mane,2,2,1
Chai Mania,0,3,0
Chai Masthi,2,2,0
Chai Point,37,10,5
Chai Resto,1,0,0
Chai Street,0,2,0
Chai World,2,0,1
Chaitanya Cafe,3,0,0
Chaitanya Grand,4,0,0
Chaitanya Veg,0,0,4
Chaithanya Andhra Style Family Restaurant,4,0,0
Chaithanya Delicacy,2,0,0
Chaithanya Veg,12,4,0
Chaithanya Xpress,1,1,0
Chaiwala,3,6,0
Chakh Le Foods,4,2,0
Chakh Le India,10,10,4
Chakh Le india,3,3,0
Chakum Chukum Calcutta On A Roll,1,0,0
Champaran Spice,2,0,0
Chandni Chowk 2 Bangalore,22,2,0
Chandu Dhaba,10,0,0
Chantilly,29,0,0
Chapati House,2,0,0
Charcoal Eats,8,0,0
Charminar Kabab Paradise,0,0,0
Chashni Sweets,12,0,0
Chaska Bun,38,0,1
Chatora,2,0,0
